chrX	3128677	6394544	23
chrX	4987026	8705727	23
chrX	7645201	12004946	23
chrX	10054492	13939573	23
chrX	13139450	17537069	23
chrX	14548851	20295486	23
chrX	18830314	22586345	23
chrX	21361825	25873705	23
chrX	23655005	29452402	23
chrX	27053012	31514789	23
chrX	30555435	33590015	23
chrX	32742320	36809130	23
chrX	34428317	39513668	23
chrX	37968571	42245713	23
chrX	40937687	44732367	23
chrX	43794246	47620645	23
chrX	46202809	50865892	23
chrX	48095197	63980662	23
chrX	51231085	69264811	23
chrX	68060008	74435265	23
chrX	70528710	84863896	23
chrX	78960104	87694842	23
chrX	85490591	90378761	23
chrX	88391748	92824392	23
chrX	90786769	94850246	23
chrX	93438514	97371719	23
chrX	95791321	99989340	23
chrX	97853687	105523441	23
chrX	100902656	110346597	23
chrX	107650210	113688843	23
chrX	111999331	115615523	23
chrX	114060667	117891121	23
chrX	116404619	119925528	23
chrX	118815093	122841479	23
chrX	121046876	125098659	23
chrX	124298654	129040061	23
chrX	125949037	131643059	23
chrX	129471811	135471442	23
chrX	133166765	139207969	23
chrX	137103009	141170525	23
chrX	140370589	143312925	23
chrX	142512910	145552248	23
chrX	144624296	147680316	23
chrX	146506927	150417695	23
chrX	148948156	153396380	23
